세트,칼로리(kcal)
빅맥 세트,916
1955 버거 세트,898
더블 1955버거 세트,1114
쿼터파운더 치즈 세트,885
더블 쿼터파운더 치즈 세트,1101
베이컨 토마토 디럭스 세트,910
맥스파이시 상하이 버거 세트,833
불고기 버거 세트,751
더블불고기 버거 세트,951
치즈버거세트,678
더블치즈버거세트,833
슈비버거세트,917
슈슈버거세트,792
에그 불고기버거세트,835
"맥치킨, 모짜렐라 세트",1038
맥치킨 세트,851
허니 크림치즈 상하이버거세트,922
디럭스 브렉퍼스트 세트,788
핫케익 3조각 세트3,335
에그 맥머핀 콤보,296
베이컨에그 맥머핀 콤보,302
소시지 에그 맥머핀 콤보,463
에그 맥머핀 세트,451
베이컨에그 맥머핀 세트,458
베이컨 토마토 머핀 세트,377
소시지 에그 맥머핀 세트,619
소시지 맥머핀 세트,535
치킨 치즈 머핀세트,613
필레 오 피쉬 세트,647
더블 필레오피쉬 세트,813